Time,CPU Usage (%),Memory Usage (MB)
1677486218.6639788,0.0,27.51171875
1677486219.6640692,14.0,27.51171875
1677486220.6636028,12.0,27.51171875
1677486221.6639273,11.0,27.51171875
1677486222.6635456,12.0,27.51171875
1677486223.6637316,13.0,27.51171875
1677486224.6637907,12.0,27.51171875
1677486225.6637876,12.9,27.72265625
